"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time"
520,328.57,53.34,32.65,7.72931e-05,4.8238e-05,0,0,7.76599e-05,4.9239e-05,8.17741e-05,5.26468e-05,0,0,0.000722114,8.80518e-05,3.0632e-07
530,334.92,53.89,32.31,7.92327e-05,5.03152e-05,0,0,7.78608e-05,5.22573e-05,8.3232e-05,5.23577e-05,0,0,0.000730601,9.11617e-05,3.1182e-07
540,341.39,56.73,34.57,8.1933e-05,5.07556e-05,0,0,8.05272e-05,5.0747e-05,8.55628e-05,5.53736e-05,0,0,0.000744267,8.98035e-05,3.1735e-07
550,348.75,55.01,33.85,8.24799e-05,5.16156e-05,0,0,8.3063e-05,5.22956e-05,8.64126e-05,5.51586e-05,0,0,0.000756855,9.28863e-05,3.2772e-07
560,353.54,56.81,34.36,8.38195e-05,5.19414e-05,0,0,8.30869e-05,5.29302e-05,8.76267e-05,5.62116e-05,0,0,0.000768096,9.35526e-05,3.27e-07
570.001,362,57.48,35.24,8.42954e-05,5.39009e-05,0,0,8.29322e-05,5.28903e-05,8.87429e-05,5.71801e-05,0,0,0.000783594,9.45909e-05,3.3136e-07
579.999,367.07,56.56,34.85,8.73898e-05,5.52372e-05,0,0,8.61088e-05,5.55045e-05,9.16353e-05,5.88034e-05,0,0,0.000793909,9.6553e-05,3.1909e-07
590,372,56.81,34.81,8.75617e-05,5.55073e-05,0,0,8.73162e-05,5.50727e-05,9.27588e-05,5.91493e-05,0,0,0.000806788,9.81448e-05,3.3614e-07
600,378.14,59.91,36.51,8.98303e-05,5.53818e-05,0,0,8.70754e-05,5.66026e-05,9.56024e-05,6.07135e-05,0,0,0.000817329,0.000100516,3.2824e-07
610,385.7,59.88,36.38,8.99195e-05,5.67943e-05,0,0,8.9899e-05,5.89572e-05,9.56288e-05,6.09452e-05,0,0,0.000831815,0.000101452,3.3238e-07
620.001,392.47,59.04,36.34,9.19843e-05,5.83309e-05,0,0,9.14343e-05,5.98505e-05,9.75011e-05,6.13541e-05,0,0,0.000841368,0.000103985,3.2255e-07
629.999,396.48,62.19,38.02,9.38502e-05,5.86536e-05,0,0,9.47881e-05,5.83396e-05,9.87173e-05,6.25038e-05,0,0,0.000863438,0.000106692,4.4007e-07
640,405.21,62.96,39.17,9.50791e-05,5.92987e-05,0,0,9.32116e-05,6.31726e-05,0.00010068,6.39226e-05,0,0,0.000865033,0.000106164,4.4749e-07
650,410.34,61.09,37.39,9.62377e-05,6.1076e-05,0,0,9.68038e-05,6.23016e-05,0.000101473,6.43084e-05,0,0,0.000883848,0.00010851,3.3667e-07
660,416.14,65.1,39.48,9.87127e-05,6.16682e-05,0,0,9.72382e-05,6.2691e-05,0.000102533,6.60426e-05,0,0,0.00089719,0.000110006,4.5388e-07
670.001,425.16,60.15,36.64,9.96787e-05,6.313e-05,0,0,9.77721e-05,6.22423e-05,0.0001042,6.79058e-05,0,0,0.000914219,0.00011057,3.5029e-07
679.999,428.51,63.69,38.98,0.000101572,6.37115e-05,0,0,9.98096e-05,6.45539e-05,0.000105752,6.83525e-05,0,0,0.000919499,0.000112477,3.3954e-07
690,437.29,63.75,39.18,0.000103394,6.52302e-05,0,0,0.000102314,6.55343e-05,0.000108428,6.86241e-05,0,0,0.000931432,0.000114992,3.1599e-07
