"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
620.001,392.42,60.32,36.43,9.58631e-05,5.92622e-05,0,0,9.13078e-05,5.97339e-05,0.000100923,6.43025e-05,0,0,0.000855817,0.000105154,0.00033181
629.999,398.37,62.07,38.17,9.69269e-05,6.11461e-05,0,0,9.41771e-05,6.19254e-05,0.000102087,6.42131e-05,0,0,0.000873253,0.000106215,0.00034292
640,404.59,60.86,37.05,9.66664e-05,6.03293e-05,0,0,9.51096e-05,5.97771e-05,0.000101069,6.50825e-05,0,0,0.000872475,0.000107344,0.00034238
650,411.04,61.32,37.38,9.76263e-05,6.1007e-05,0,0,9.40145e-05,6.44803e-05,0.000103833,6.54255e-05,0,0,0.000894374,0.000109649,0.00035358
660,415.79,60.18,36.46,9.94348e-05,6.29116e-05,0,0,0.000100975,6.3861e-05,0.000106538,6.74946e-05,0,0,0.000911431,0.000110061,0.00047057
670.001,423.23,61.62,37.7,0.000102255,6.40475e-05,0,0,0.000101925,6.48627e-05,0.00010916,6.81018e-05,0,0,0.00092728,0.000114537,0.00035195
679.999,431.76,62.12,38.42,0.000113961,6.92123e-05,0,0,0.000110967,7.4115e-05,0.000124318,7.82853e-05,0,0,0.00101162,0.000121702,0.0005177
690,433.97,63.47,38.48,0.000113147,6.8397e-05,0,0,0.000108504,6.86943e-05,0.000118567,7.27863e-05,0,0,0.00100774,0.000124478,0.00063204
700,444.78,62.25,38.05,0.000110725,7.00152e-05,0,0,0.000113726,7.19007e-05,0.000118716,7.40153e-05,0,0,0.00101814,0.000123273,0.00040649
710,447.33,63.63,39.12,0.000120416,7.39652e-05,0,0,0.000119505,7.70836e-05,0.000124968,8.13259e-05,0,0,0.0010895,0.000133297,0.00047741
720.001,454.22,65.02,38.96,0.000115997,7.04999e-05,0,0,0.000111129,7.47374e-05,0.000119774,7.54703e-05,0,0,0.00101502,0.000125997,0.00042702
729.999,463.47,67.4,40.9,0.000113593,7.04677e-05,0,0,0.000112732,7.50204e-05,0.00012102,7.68228e-05,0,0,0.00101182,0.000128092,0.00038247
740,466.76,65.87,39.98,0.000115115,7.10782e-05,0,0,0.000115247,7.11995e-05,0.000120536,7.73923e-05,0,0,0.00102288,0.000127217,0.00039555
750,473.92,66.76,41.12,0.000121093,7.4569e-05,0,0,0.000120524,7.66873e-05,0.000127234,8.14521e-05,0,0,0.00108216,0.000136319,0.00043427
760,479.83,66.59,40.58,0.00011835,7.3036e-05,0,0,0.000117471,7.61494e-05,0.000127732,8.19458e-05,0,0,0.00109372,0.0001334,0.00038904
770.001,486.37,67.02,41.82,0.000124412,7.54026e-05,0,0,0.000118826,7.55302e-05,0.000129289,8.45195e-05,0,0,0.00109735,0.000133246,0.00039353
779.999,496.55,67.65,41.83,0.000118159,7.44287e-05,0,0,0.000118181,7.74707e-05,0.000123943,7.89651e-05,0,0,0.00106381,0.000132361,0.00036402
790.001,500.75,68.96,42.56,0.000121674,7.76367e-05,0,0,0.000120759,7.92575e-05,0.000128454,8.22891e-05,0,0,0.00109994,0.00013684,0.00037773
800,506.23,68.87,41.45,0.000124016,7.58213e-05,0,0,0.00011662,7.89944e-05,0.000129908,8.32518e-05,0,0,0.00111624,0.000138788,0.00038555
809.999,510.54,70.73,43.26,0.000122452,7.49829e-05,0,0,0.000121901,7.66424e-05,0.000127116,8.11714e-05,0,0,0.00110292,0.000135264,0.0003575
820.001,518.31,68.35,41.6,0.000124372,7.73219e-05,0,0,0.00011993,8.23938e-05,0.000136191,8.4039e-05,0,0,0.00114502,0.000139155,0.00036339
829.999,524.06,72.24,43.75,0.000127545,8.02308e-05,0,0,0.000122937,8.10851e-05,0.000133465,8.5366e-05,0,0,0.0011626,0.000139952,0.00036837
840.001,528.41,73.39,45.14,0.000130727,8.05781e-05,0,0,0.000131045,8.17018e-05,0.000137097,8.69498e-05,0,0,0.00119182,0.000145068,0.00039201
850,536.97,68.42,42.29,0.000129961,8.09301e-05,0,0,0.000127579,8.54734e-05,0.000138368,8.69479e-05,0,0,0.00119702,0.000146146,0.00039681
859.999,541.82,73.14,44.65,0.0001322,8.09535e-05,0,0,0.000132289,8.32059e-05,0.000140903,8.86613e-05,0,0,0.0012252,0.000149121,0.00048171
870.001,549.81,74.7,45.81,0.000132089,8.13383e-05,0,0,0.000133238,8.20743e-05,0.000138175,8.79364e-05,0,0,0.00122974,0.000145306,0.00037455
879.999,554.5,71.82,44.3,0.000134496,8.41228e-05,0,0,0.000134148,8.80529e-05,0.000140152,9.04497e-05,0,0,0.00123488,0.000146617,0.00035896
890.001,560.54,72.43,44.01,0.000133847,8.46898e-05,0,0,0.000133117,8.75585e-05,0.000142115,9.01151e-05,0,0,0.00124487,0.000151387,0.00036431
900,568.13,74.53,45.77,0.000141051,8.62896e-05,0,0,0.000138691,8.93528e-05,0.00014705,9.43928e-05,0,0,0.00129853,0.00015564,0.00052178
909.999,575.49,74.05,45.15,0.000138701,8.50838e-05,0,0,0.000135995,8.843e-05,0.000145032,9.20037e-05,0,0,0.00127548,0.000153434,0.00038435
920.001,580.33,72.15,44.7,0.000139966,8.73531e-05,0,0,0.000138012,8.90446e-05,0.000148501,9.42256e-05,0,0,0.00128331,0.000152464,0.00037395
929.999,586.74,76.45,46.77,0.000152128,9.3634e-05,0,0,0.000145365,9.87504e-05,0.000157125,9.96025e-05,0,0,0.00139164,0.000164421,0.0005229
940.001,595.79,71.43,44.53,0.00014495,9.0221e-05,0,0,0.000145175,9.24588e-05,0.000152231,9.91831e-05,0,0,0.00133233,0.000160579,0.0003866
950,599.45,74.33,45.39,0.00014639,8.84944e-05,0,0,0.000146255,9.38254e-05,0.000152662,9.79884e-05,0,0,0.00133535,0.00016036,0.00037273
959.999,607.67,73.4,45.16,0.00015515,9.71244e-05,0,0,0.000155354,0.000101087,0.00016272,0.000105285,0,0,0.00142872,0.000171082,0.00046511
970.001,612.17,77.17,46.75,0.00015528,9.59269e-05,0,0,0.00015504,9.76859e-05,0.000162864,0.000105668,0,0,0.00143904,0.000176783,0.00044643
979.999,619.92,74.12,45.4,0.000147203,9.24691e-05,0,0,0.000145863,9.44338e-05,0.000156323,9.7713e-05,0,0,0.00134315,0.000162684,0.00038424
990.001,628.07,76.52,47.03,0.00015579,9.55148e-05,0,0,0.00015334,0.000100081,0.000160854,0.000102161,0,0,0.00140013,0.00017093,0.00042531
1000,630.39,74.44,45.8,0.00015409,9.50291e-05,0,0,0.000152294,9.71409e-05,0.000164096,0.000100869,0,0,0.00140344,0.000169736,0.00040415
