"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
8700,6516.99,20.49,18.5,0.00138158,0.000985005,0,0,0.00144909,0.0010467,0.00145305,0.00105205,0,0,0.014228,0.00140591,0.00096139
8800,6601.09,20.14,18.21,0.00144031,0.00100986,0,0,0.00149134,0.00110846,0.00151627,0.00110025,0,0,0.0147927,0.00151743,0.00107687
8900,6671.58,20.34,18.24,0.00144865,0.00100988,0,0,0.00148424,0.00108963,0.00150626,0.00108281,0,0,0.0147153,0.0015049,0.00098037
9000,6749.49,20.73,18.81,0.00145103,0.00101139,0,0,0.00148684,0.0010901,0.00150149,0.00109499,0,0,0.0146213,0.00147824,0.00082675
9100,6826.34,20.3,18.51,0.00143415,0.00101165,0,0,0.00146473,0.00106992,0.00150681,0.00109125,0,0,0.0145356,0.00144958,0.0007688
9200,6906.19,20.73,18.61,0.00143803,0.0010335,0,0,0.00147939,0.00109915,0.00151985,0.00110645,0,0,0.0149539,0.00149366,0.00087001
9300,6967.76,20.4,18.6,0.001445,0.00103179,0,0,0.00148006,0.0010921,0.00151754,0.00110701,0,0,0.0148111,0.00144654,0.00070927
9400,7061.29,20.71,18.83,0.00154331,0.00105911,0,0,0.0015849,0.00116109,0.00159786,0.00114285,0,0,0.0151727,0.00155889,0.00086814
9500,7126.48,20.52,18.57,0.00168666,0.00113001,0,0,0.00168416,0.00118858,0.00172837,0.00122365,0,0,0.0162286,0.00189572,0.00107861
9600,7203.96,20.47,18.49,0.00155161,0.00108981,0,0,0.00159122,0.00115492,0.00160293,0.00116241,0,0,0.0156917,0.00155738,0.00084731
9700,7279.83,20.73,18.94,0.00173847,0.00117834,0,0,0.00178927,0.00126011,0.00182157,0.00128215,0,0,0.016577,0.00193463,0.00122281
9800,7352.23,20.39,18.54,0.00174162,0.0011623,0,0,0.00176876,0.00121731,0.00175589,0.00124698,0,0,0.0172183,0.00212723,0.00123564
9900,7430.91,20.67,18.54,0.00156584,0.00111302,0,0,0.00160231,0.00118259,0.0016538,0.0011928,0,0,0.0158553,0.00158198,0.0008875
10000,7502,20.78,18.69,0.00155152,0.0010981,0,0,0.00159912,0.00120593,0.00168344,0.00122597,0,0,0.0159863,0.00156271,0.0008209
