"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
4400,16.3,3165.58,7.35,0.000657785,2.85687e-06,0.000826335,3.76149e-06,0.000497968,2.27975e-06,0.000674605,3.01367e-06,0.00170731,6.82411e-05
4500,17.28,3146.56,7.57,0.000675712,3.04338e-06,0.000855418,3.80552e-06,0.000512063,2.69967e-06,0.0006963,3.25092e-06,0.00177103,6.96065e-05
4600,16.38,3318.26,7.35,0.000691097,2.71717e-06,0.000865471,3.87783e-06,0.000493766,2.60651e-06,0.00070318,2.94512e-06,0.0017754,6.7467e-05
4700,17.27,3268.26,7.6,0.000706049,3.14042e-06,0.000872245,3.88336e-06,0.000505393,2.49882e-06,0.000719217,3.0852e-06,0.00180638,6.95158e-05
4800,17.39,3339.56,7.55,0.000717413,2.87414e-06,0.000897518,4.13686e-06,0.000539425,2.63917e-06,0.000728569,3.09714e-06,0.00185009,7.56349e-05
4900,16.81,3520.29,7.48,0.000725695,2.73276e-06,0.000917189,3.98997e-06,0.000557684,2.33822e-06,0.000743286,3.00562e-06,0.00190181,7.37193e-05
5000,17.13,3608.92,7.59,0.000743346,2.80107e-06,0.000935744,3.69382e-06,0.000533542,2.33375e-06,0.000764138,3.08603e-06,0.00193582,7.5365e-05
5100,17.36,3630.02,7.43,0.000756144,2.81547e-06,0.000944699,3.84768e-06,0.000546652,2.6835e-06,0.000773004,3.16501e-06,0.0019545,7.65197e-05
5200,16.75,3638.76,7.15,0.000761798,2.9625e-06,0.000968995,4.04868e-06,0.000585999,2.73101e-06,0.000789464,3.0103e-06,0.00199705,7.67796e-05
5300,17.55,3840.39,7.58,0.000791392,2.99226e-06,0.00101283,4.40673e-06,0.000583678,2.47857e-06,0.000818051,3.27815e-06,0.00206146,8.0404e-05
5400,16.82,3866.13,7.34,0.000798556,2.85788e-06,0.00101356,4.29822e-06,0.000628264,2.34136e-06,0.000821078,3.10738e-06,0.0020794,8.19365e-05
5500,17.92,3959.74,7.8,0.000823423,3.29858e-06,0.00102667,3.90395e-06,0.000610709,3.09739e-06,0.000843414,3.27013e-06,0.00211725,8.72006e-05
5600,17.49,3991.45,7.59,0.000839419,3.04163e-06,0.00104037,4.14121e-06,0.000648463,2.72511e-06,0.000856021,3.30781e-06,0.00216066,8.55337e-05
5700,17.94,3994.33,7.7,0.000856058,2.9199e-06,0.00107134,3.90519e-06,0.000646347,2.54591e-06,0.000870768,3.30973e-06,0.00219922,8.401e-05
5800,16.93,4128.78,7.46,0.000870357,2.72532e-06,0.0010835,3.74907e-06,0.00063601,2.45861e-06,0.000888436,3.24829e-06,0.00225378,8.43021e-05
5900,17.44,4140.51,7.67,0.000893582,2.96283e-06,0.00111158,3.97453e-06,0.00067178,2.28611e-06,0.000895868,3.21181e-06,0.00229464,8.85607e-05
6000,16.34,4258.2,7.36,0.000899632,2.83744e-06,0.0011087,3.64276e-06,0.000667879,2.18302e-06,0.000913449,2.97029e-06,0.00230305,8.83648e-05
6100,17.04,4518.32,7.55,0.000906119,2.78243e-06,0.00111966,3.88555e-06,0.000657146,2.34891e-06,0.000919447,3.33452e-06,0.00235571,9.35962e-05
6200,18.19,4273.01,7.87,0.000930672,2.96551e-06,0.00114944,4.04431e-06,0.00069441,2.84212e-06,0.000945819,3.43816e-06,0.00238247,9.12629e-05
6300,17.59,4466.92,7.64,0.000982963,3.18688e-06,0.00120199,3.97479e-06,0.000719278,2.79423e-06,0.0009816,3.34184e-06,0.00251428,9.25453e-05
6400,18.9,4409.56,7.98,0.000952077,3.13041e-06,0.00120695,4.10817e-06,0.000685603,2.67893e-06,0.000982129,3.51299e-06,0.00247349,9.01917e-05
6500,18.78,4492.09,7.79,0.000978329,3.04703e-06,0.00121883,4.14307e-06,0.000664299,2.97599e-06,0.000988019,3.35505e-06,0.00252983,8.77785e-05
