"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
7900,5919.53,20.02,18.01,0.00126669,0.000876135,0.00161144,0.00113819,0.00128291,0.000947687,0.00129031,0.000963992,0.00324295,0.00230351
8000,5996,20.06,18.01,0.00137158,0.000929986,0.001722,0.00122128,0.0013638,0.000997286,0.00137268,0.00102642,0.00345795,0.00251601
8100,6077.85,20.14,18.18,0.00149084,0.000941104,0.00180027,0.00123754,0.00144309,0.00102363,0.00145613,0.00103087,0.00358955,0.00253577
8200,6151.14,20.03,18.12,0.00147365,0.000942659,0.00181851,0.0012475,0.00143416,0.00103292,0.00145023,0.00104053,0.00360412,0.00254906
8300,6229.02,20.13,18.17,0.00155388,0.000958168,0.0018617,0.00126684,0.00146704,0.00104692,0.00151167,0.0010725,0.00377284,0.00258465
8400,6305.22,20.17,18.23,0.00136823,0.000933669,0.00171033,0.00120131,0.00134642,0.000994291,0.00135155,0.00101055,0.00343831,0.002485
8500,6372.08,20.38,18.32,0.00137381,0.000938405,0.00173238,0.00122583,0.00137215,0.00101331,0.00138448,0.00103907,0.00352631,0.00248907
8600,6449.6,19.97,17.97,0.00138727,0.000933761,0.00174152,0.00122234,0.00140905,0.0010238,0.0014008,0.0010318,0.00351457,0.00251572
8700,6531.27,20.23,18.29,0.00140808,0.000950086,0.001792,0.00126634,0.00142355,0.00103443,0.00145659,0.00106008,0.0036527,0.00255897
8800,6600.59,20.27,18.6,0.00145291,0.000981961,0.00184099,0.00128561,0.00145865,0.00108788,0.00149045,0.00109298,0.00372145,0.00262608
8900,6677.51,20.34,18.49,0.00141051,0.00096853,0.00177985,0.00127126,0.0014194,0.00105542,0.00143955,0.00106617,0.00364751,0.00259551
9000,6755.16,19.99,18.08,0.00138679,0.000967352,0.00176001,0.00126805,0.00140501,0.00104088,0.00141554,0.00106788,0.00360216,0.002587
9100,6830.62,20.56,18.58,0.00138733,0.00097593,0.00176593,0.00128104,0.00142444,0.00105958,0.00143816,0.00107929,0.00362963,0.00260063
9200,6895.36,20.54,18.53,0.00141195,0.000985941,0.00179873,0.00128832,0.00142812,0.00106596,0.00144576,0.0010829,0.00365392,0.00262427
9300,6970.97,20.26,18.31,0.00141713,0.000997475,0.00181483,0.00130516,0.00144638,0.00107645,0.00146871,0.0010987,0.00370934,0.00264953
9400,7054.48,20.43,18.59,0.00144693,0.00100726,0.00184633,0.00132348,0.00147101,0.00108986,0.00149037,0.00111874,0.00379424,0.00271071
9500,7120.74,20.39,18.47,0.00145053,0.00101702,0.00184421,0.00133016,0.00146466,0.00109875,0.00149995,0.00112214,0.00378625,0.00271242
9600,7194.98,20.53,18.51,0.00147775,0.00103449,0.00188686,0.00134917,0.00149405,0.00110555,0.00151557,0.00113506,0.00383276,0.00275285
9700,7278.21,20.91,18.87,0.00149311,0.00103884,0.00189494,0.00135624,0.0015068,0.00112347,0.0015267,0.00115031,0.00388087,0.0027715
9800,7349.71,20.51,18.59,0.00151745,0.00106051,0.00192279,0.00138101,0.00153459,0.00114153,0.00155741,0.00116614,0.0039244,0.0028182
9900,7418.66,20.61,18.46,0.00152668,0.00106885,0.00194634,0.0013951,0.00154916,0.00115253,0.00156426,0.00117148,0.0039588,0.00283575
10000,7499.22,20.91,18.83,0.00151826,0.00106656,0.00195119,0.00140616,0.00155089,0.00115972,0.00157235,0.00118251,0.00399137,0.0028749
