"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
5900,16.91,4279.94,7.47,0.00102537,3.69309e-06,0,0,0.000753584,3.4564e-06,0.00105474,4.29976e-06,0,0,0.00188923,0.000913238,0.00052338
6000,17.81,4274.19,7.88,0.000949065,3.12641e-06,0,0,0.000732838,3.18481e-06,0.000966456,3.89155e-06,0,0,0.00175565,0.000836192,0.00040114
6100,16.93,4452.3,7.51,0.000972468,3.38083e-06,0,0,0.000741098,3.12278e-06,0.00100951,3.66735e-06,0,0,0.00184431,0.000867343,0.00042328
6200,18.3,4291.83,7.83,0.00119018,4.48717e-06,0,0,0.000943784,4.01699e-06,0.00123606,5.13796e-06,0,0,0.00222437,0.00104415,0.00062367
6300,17.94,4371.41,7.72,0.00110471,3.94995e-06,0,0,0.000855118,3.87131e-06,0.00114453,4.581e-06,0,0,0.00207708,0.000963951,0.00052941
6400,17.76,4746.35,8.01,0.00102071,3.26741e-06,0,0,0.000748822,3.52544e-06,0.00107827,4.13375e-06,0,0,0.00192643,0.000905929,0.00041118
6500,17.4,4685.89,7.68,0.00107994,3.25048e-06,0,0,0.00075337,3.4135e-06,0.00113793,4.00668e-06,0,0,0.00202498,0.000946737,0.00054366
6600,17.06,4661.12,7.4,0.00106209,3.19705e-06,0,0,0.000817585,3.00024e-06,0.00107591,3.86079e-06,0,0,0.00196587,0.000940874,0.00044886
6700,17.24,4933.87,7.77,0.00111231,3.56183e-06,0,0,0.000840102,3.38007e-06,0.00112401,3.71051e-06,0,0,0.00202362,0.000967266,0.00049399
6800,17.62,4817.2,7.78,0.00108409,3.27821e-06,0,0,0.000880156,3.54307e-06,0.00111907,3.65887e-06,0,0,0.00201416,0.000963413,0.00043909
6900,18.02,4919.25,7.98,0.00105849,3.38465e-06,0,0,0.000830941,2.92793e-06,0.00110011,3.61118e-06,0,0,0.00202149,0.000943127,0.00036202
7000,18.17,4895.14,7.72,0.00104021,2.96134e-06,0,0,0.000809856,2.67168e-06,0.00105752,3.33377e-06,0,0,0.00193383,0.000924102,0.00033485
7100,18.28,5022.12,8.19,0.00107945,3.14626e-06,0,0,0.000800882,3.25745e-06,0.00109536,3.65847e-06,0,0,0.00197712,0.00094853,0.00046712
7200,17.96,5273.93,8.07,0.00107008,3.17031e-06,0,0,0.000837146,2.86051e-06,0.00110968,3.54498e-06,0,0,0.00197702,0.000946996,0.00038262
7300,17.64,5236.37,7.83,0.00113609,3.2461e-06,0,0,0.000842838,3.16916e-06,0.00115677,3.8174e-06,0,0,0.00209109,0.000994192,0.00041197
7400,17.84,5397.34,7.66,0.00109962,2.9463e-06,0,0,0.000840925,2.6431e-06,0.00113032,3.50505e-06,0,0,0.00201159,0.000976218,0.00032256
7500,17.96,5410.98,7.99,0.00113099,3.17014e-06,0,0,0.000844189,2.92366e-06,0.00114883,3.46771e-06,0,0,0.00206567,0.000986557,0.00034162
7600,18.32,5239.36,7.81,0.00117655,3.19519e-06,0,0,0.000856588,2.91685e-06,0.0012012,3.74837e-06,0,0,0.00212572,0.00101685,0.00034613
7700,18.38,5521.77,7.97,0.00113786,3.17632e-06,0,0,0.000842699,2.76033e-06,0.00115601,3.32312e-06,0,0,0.00208824,0.000996872,0.00030822
7800,18.22,5646.63,8.02,0.00120097,3.1195e-06,0,0,0.000895153,2.99403e-06,0.00121615,3.56722e-06,0,0,0.00220027,0.00104076,0.00049995
7900,18.36,5579.46,8.03,0.001242,3.39945e-06,0,0,0.000906595,3.08998e-06,0.00127,3.71275e-06,0,0,0.00226763,0.00108693,0.00038399
8000,16.99,5755.18,7.35,0.00136679,3.53303e-06,0,0,0.000994361,2.98026e-06,0.00136942,3.91671e-06,0,0,0.00246632,0.00116595,0.00048594
8100,17.59,5754.79,7.64,0.00124475,3.14337e-06,0,0,0.000984103,2.9011e-06,0.00128102,3.44899e-06,0,0,0.00231226,0.00111875,0.00037414
8200,17.54,5775.22,7.71,0.00125005,3.10373e-06,0,0,0.00101406,2.89564e-06,0.00128526,3.51036e-06,0,0,0.00234472,0.00109896,0.00036355
8300,17.71,5901.54,7.68,0.00128529,3.13713e-06,0,0,0.000958741,3.52812e-06,0.00132461,3.99954e-06,0,0,0.00237218,0.00114252,0.00039427
8400,17.55,5787.76,7.61,0.00136201,3.36606e-06,0,0,0.00104766,3.05561e-06,0.00138891,4.13212e-06,0,0,0.00254316,0.00120636,0.00044713
8500,18.34,6116.53,7.95,0.0012852,3.07954e-06,0,0,0.000998988,2.93768e-06,0.00130978,3.51373e-06,0,0,0.00236032,0.00111326,0.00033909
8600,18.28,5976.71,7.81,0.00134383,3.54038e-06,0,0,0.00102718,3.3491e-06,0.00137733,3.90566e-06,0,0,0.00246788,0.00119756,0.0004676
8700,17.22,6208.12,7.42,0.00135905,3.07975e-06,0,0,0.00100531,3.05795e-06,0.00138366,3.88753e-06,0,0,0.00251284,0.00119805,0.00038654
8800,18.55,5943.43,7.65,0.00132295,3.14546e-06,0,0,0.00108758,3.1594e-06,0.00134879,3.76424e-06,0,0,0.00246375,0.00118068,0.00034618
8900,18.54,6460.79,8.04,0.00133409,3.33766e-06,0,0,0.00102843,2.82117e-06,0.00136983,3.86126e-06,0,0,0.00244829,0.00117653,0.00036682
9000,18.17,6453.61,7.95,0.00134709,3.01621e-06,0,0,0.00106788,2.80344e-06,0.00137385,3.67822e-06,0,0,0.00245701,0.00119203,0.00033675
9100,18.62,6349.05,7.99,0.00145566,3.39666e-06,0,0,0.00114253,3.37612e-06,0.00149953,3.94944e-06,0,0,0.00265294,0.00127047,0.00041384
9200,17.96,6636.63,7.94,0.00140425,3.08616e-06,0,0,0.00104907,3.049e-06,0.00143264,3.54397e-06,0,0,0.00260072,0.00125249,0.00039034
9300,18.54,6479.41,8.05,0.00143843,3.43401e-06,0,0,0.00108174,3.02374e-06,0.00146324,3.801e-06,0,0,0.00260768,0.00126614,0.00041534
9400,18.5,6696.49,8.04,0.00148415,3.58361e-06,0,0,0.00114632,3.42964e-06,0.00155957,4.03098e-06,0,0,0.00277229,0.00130338,0.00044999
9500,17.84,6691.03,7.75,0.0015311,3.67556e-06,0,0,0.00112887,3.28513e-06,0.00153675,3.82011e-06,0,0,0.0026825,0.00130285,0.00042245
9600,17.22,6992.66,7.73,0.00145931,3.20247e-06,0,0,0.00108753,3.12377e-06,0.00151373,3.54682e-06,0,0,0.00274538,0.00129433,0.00040032
9700,18.94,6929.5,8.28,0.00146334,3.27613e-06,0,0,0.00114398,2.821e-06,0.00151524,3.89594e-06,0,0,0.00269228,0.00129948,0.00048247
9800,18.62,6994.85,8.16,0.00147055,3.11392e-06,0,0,0.00110912,3.26893e-06,0.00151546,3.76251e-06,0,0,0.00271769,0.0013078,0.00034862
9900,18.5,7023.69,7.92,0.00151538,3.38628e-06,0,0,0.00112162,2.9936e-06,0.00155372,3.72298e-06,0,0,0.00276164,0.00132145,0.00038064
10000,17.72,7089.27,7.54,0.00153252,3.18187e-06,0,0,0.00114049,2.67663e-06,0.00155346,3.75024e-06,0,0,0.00277859,0.00133228,0.00037903
