"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
720.001,454.79,63.58,38.75,0.000109106,6.69934e-05,0.000139096,8.84531e-05,0.000109138,7.15903e-05,0.000112365,7.38549e-05,0.000303242,0.000185452
729.999,461.25,65.76,40.4,0.000112367,7.10103e-05,0.000145352,9.08098e-05,0.000110104,6.92027e-05,0.000114136,7.7097e-05,0.000312591,0.000190159
740,467.97,67.88,41.51,0.000115562,7.17277e-05,0.000150238,9.33021e-05,0.000114302,7.19305e-05,0.000116314,7.65471e-05,0.000314678,0.000194674
750,475.96,67.77,41.64,0.0001153,7.37553e-05,0.000148562,9.65462e-05,0.000115073,7.40672e-05,0.000118064,7.81131e-05,0.000322806,0.000199234
760,479.05,67.29,40.68,0.00011678,7.21221e-05,0.000149627,9.51988e-05,0.000117079,7.66352e-05,0.00012,7.96379e-05,0.000328384,0.000198824
770.001,486.8,65.32,40.4,0.000121218,7.53008e-05,0.000155943,9.93349e-05,0.000116449,7.52532e-05,0.000120698,8.05903e-05,0.000336063,0.000201456
779.999,489.97,67.76,40.88,0.000123595,7.62239e-05,0.000158159,0.000100049,0.000123597,8.05906e-05,0.000129965,8.75909e-05,0.000354524,0.000213966
790.001,498.44,65.96,40.95,0.000125839,7.89058e-05,0.00016187,0.000105218,0.000129322,8.41361e-05,0.000132495,8.67889e-05,0.000352338,0.000216297
800,503.54,67.74,42.33,0.000134899,8.26095e-05,0.000171263,0.000107477,0.000125868,8.47498e-05,0.000136256,9.06945e-05,0.00036442,0.000225076
809.999,511.23,67.77,41.38,0.000135605,8.87919e-05,0.000175339,0.000107678,0.000135248,9.05164e-05,0.000138554,9.0026e-05,0.000382967,0.0002303
820.001,519.38,68.97,42.24,0.000134095,8.37118e-05,0.000172316,0.0001065,0.000131437,8.60518e-05,0.000137177,9.09145e-05,0.000377321,0.000226994
829.999,528.94,69.1,42.54,0.000141633,8.86041e-05,0.000180748,0.00011626,0.000133891,8.89912e-05,0.000141318,9.40242e-05,0.000395514,0.000240315
840.001,532.36,67.84,41.74,0.000137221,8.76964e-05,0.000176362,0.000110554,0.000138692,9.0881e-05,0.000137414,9.10054e-05,0.000373509,0.000230663
850,534.73,70.99,43.58,0.000140337,8.84788e-05,0.000180679,0.000114398,0.000139123,8.91001e-05,0.000141558,9.38827e-05,0.000390093,0.000236454
859.999,542.11,71.98,43.64,0.000139823,8.85159e-05,0.000184115,0.00011411,0.000132762,9.20487e-05,0.000143026,9.45726e-05,0.000397437,0.000239936
870.001,551.08,69.66,43.02,0.000137216,8.43388e-05,0.000171269,0.000108321,0.000131848,8.69308e-05,0.000138277,9.16912e-05,0.000377582,0.000236903
879.999,554.63,69.23,42.09,0.000140572,8.93027e-05,0.000178357,0.00011228,0.000136271,8.86378e-05,0.000140661,9.35263e-05,0.000390632,0.000231538
890.001,561.54,70.91,43.88,0.000139912,8.8079e-05,0.000182257,0.000109949,0.000141821,9.07461e-05,0.000145368,9.61572e-05,0.000387189,0.000236362
